source	Tweets	sentiment	id	spans/0	spans/1	spans/2	spans/3	spans/4
twitter	watching for bounce tomorrow    	0.366	7.19659409228452E+017	watching for bounce tomorrow				
twitter	record number of passengers served in 2015    	0.638	7.19904304207962E+017	record number of passengers served in 2015				
stocktwits	out $NFLX -.35    	-0.494	5329774	out $NFLX -.35				
twitter	Looking for a strong bounce Lunchtime rally coming   	0.46	7.19891468173844E+017	Looking for a strong bounce	Lunchtime rally coming			
stocktwits	Very intrigued with the technology and growth potential    	0.403	20091246	Very intrigued with the technology and growth potential				
stocktwits	short worked puts up   	0	5819749	short worked	puts up			
twitter	overbought    	-0.296	7.09741154393133E+017	overbought				
stocktwits	absolute garbage still up stores TOTALLY EMPTY stock mispriced  	-0.546	17892972	absolute garbage still up	stores TOTALLY EMPTY	stock mispriced		
twitter	Biggest Market Losers    	-0.438	7.09834259687711E+017	Biggest Market Losers				
twitter	Love this company long time.    	0.408	7.08481442079068E+017	Love this company long time.				
stocktwits	$GOOG $GOOGL would suck    	-0.398	31971935	$GOOG $GOOGL would suck				
twitter	'who won''t pay anymore REAL risk   '	-0.349	7.10187873492984E+017	'who won''t pay anymore'	REAL risk			
stocktwits	No edge offered    	0.025	13915103	No edge offered				
stocktwits	runs into the 50sma on the acquisition news    	0.486	10448993	runs into the 50sma on the acquisition news				
stocktwits	't can''t go down    '	0.308	24886266	't can''t go down'				
stocktwits	now seems like its helping the downtrend    	-0.372	12793642	now seems like its helping the downtrend				
stocktwits	mastered their supply chain    	0.461	9408369	mastered their supply chain				
twitter	Most bullish stocks on Twitter during this dip    	0.408	7.19909604654625E+017	Most bullish stocks on Twitter during this dip				
stocktwits	big dumping would not touch it for a while   	-0.699	9674584	big dumping	would not touch it for a while			
stocktwits	trade continuing very nicely from yesterday looking very strong here   	0.495	10041008	trade continuing very nicely from yesterday	looking very strong here			
stocktwits	in from 3.61    	0.306	20249627	in from 3.61				
stocktwits	Stochastic Overbought    	-0.385	39047349	Stochastic Overbought				
twitter	Unusual call buying    	0.336	7.11907079296934E+017	Unusual call buying				
stocktwits	reserves are in decline    	0.279	5364581	reserves are in decline				
stocktwits	all on a longer-term   technical swing long basis.    	0.591	25816362	all on a longer-term   technical swing long basis.				
twitter	Insiders Are Selling    	-0.351	7.0896004579976E+017	Insiders Are Selling				
twitter	What goes up...    	-0.514	7.19521470175523E+017	What goes up...				
twitter	if $249.84 breaks we see $245 then $240    	-0.519	7.19572690453934E+017	if $249.84 breaks we see $245 then $240				
stocktwits	'let''s see a big bounce    '	0.361	33458939	'let''s see a big bounce'				
